site,age_smoothed_ka,sea_level_smoothed_m,
Vema 1930,5020,-4.3,
Vema 1930,5040,-3.8,
Vema 1930,5060,-3.3,
Vema 1930,5080,-2.9,
Vema 1930,5100,-2.6,
Vema 1930,5120,-2.5,
Vema 1930,5140,-2.4,
Vema 1930,5160,-2.5,
Vema 1930,5180,-2.6,
Vema 1930,5200,-2.9,
Vema 1930,5220,-3.2,
Vema 1930,5240,-3.7,
Vema 1930,5260,-4.1,
Vema 1930,5280,-4.6,
Vema 1930,5300,-5.1,
Vema 1930,5320,-5.6,
Vema 1930,5340,-6.1,
Vema 1930,5360,-6.4,
Vema 1930,5380,-6.7,
Vema 1930,5400,-6.9,
Vema 1930,5420,-7.1,
Vema 1930,5440,-7.1,
Vema 1930,5460,-7.2,
Vema 1930,5480,-7.1,
Vema 1930,5500,-7.0,
Vema 1930,5520,-6.9,
Vema 1930,5540,-6.7,
Vema 1930,5560,-6.4,
Vema 1930,5580,-6.2,
Vema 1930,5600,-5.8,
Vema 1930,5620,-5.5,
Vema 1930,5640,-5.2,
Vema 1930,5660,-4.8,
Vema 1930,5680,-4.4,
Vema 1930,5700,-4.1,
Vema 1930,5720,-3.8,
Vema 1930,5740,-3.6,
Vema 1930,5760,-3.4,
Vema 1930,5780,-3.2,
Vema 1930,5800,-3.2,
846 Liseicki,5820,-3.2,
846 Liseicki,5840,-3.3,
846 Liseicki,5860,-3.5,
846 Liseicki,5880,-3.8,
846 Liseicki,5900,-4.1,
846 Liseicki,5920,-4.5,
846 Liseicki,5940,-4.8,
846 Liseicki,5960,-5.2,
846 Liseicki,5980,-5.6,
846 Liseicki,6000,-6.0,
846 Liseicki,6020,-6.4,
846 Liseicki,6040,-6.8,
846 Liseicki,6060,-7.1,
846 Liseicki,6080,-7.5,
846 Liseicki,6100,-7.8,
846 Liseicki,6120,-8.1,
846 Liseicki,6140,-8.3,
846 Liseicki,6160,-8.5,
846 Liseicki,6180,-8.7,
846 Liseicki,6200,-8.8,
846 Liseicki,6220,-8.8,
846 Liseicki,6240,-8.9,
846 Liseicki,6260,-8.9,
846 Liseicki,6280,-8.9,
846 Liseicki,6300,-9.0,
846 Liseicki,6320,-9.1,
846 Liseicki,6340,-9.3,
846 Liseicki,6360,-9.4,
846 Liseicki,6380,-9.6,
846 Liseicki,6400,-9.8,
846 Liseicki,6420,-10.0,
846 Liseicki,6440,-10.1,
846 Liseicki,6460,-10.2,
846 Liseicki,6480,-10.2,
846 Liseicki,6500,-10.2,
846 Liseicki,6520,-10.1,
846 Liseicki,6540,-9.9,
846 Liseicki,6560,-9.7,
846 Liseicki,6580,-9.4,
846 Liseicki,6600,-9.0,
846 Liseicki,6620,-8.7,
846 Liseicki,6640,-8.4,
846 Liseicki,6660,-8.1,
846 Liseicki,6680,-7.9,
846 Liseicki,6700,-7.7,
846 Liseicki,6720,-7.6,
846 Liseicki,6740,-7.6,
846 Liseicki,6760,-7.6,
846 Liseicki,6780,-7.6,
846 Liseicki,6800,-7.6,
846 Liseicki,6820,-7.5,
846 Liseicki,6840,-7.5,
846 Liseicki,6860,-7.3,
846 Liseicki,6880,-7.2,
846 Liseicki,6900,-7.0,
846 Liseicki,6920,-6.9,
846 Liseicki,6940,-6.7,
846 Liseicki,6960,-6.6,
846 Liseicki,6980,-6.5,
846 Liseicki,7000,-6.5,
846 Liseicki,7020,-6.6,
846 Liseicki,7040,-6.7,
846 Liseicki,7060,-6.8,
846 Liseicki,7080,-6.9,
846 Liseicki,7100,-7.0,
846 Liseicki,7120,-7.0,
846 Liseicki,7140,-7.0,
846 Liseicki,7160,-6.8,
846 Liseicki,7180,-6.5,
846 Liseicki,7200,-6.1,
846 Liseicki,7220,-5.7,
846 Liseicki,7240,-5.1,
846 Liseicki,7260,-4.6,
846 Liseicki,7280,-4.0,
846 Liseicki,7300,-3.5,
846 Liseicki,7320,-3.0,
846 Liseicki,7340,-2.6,
846 Liseicki,7360,-2.3,
846 Liseicki,7380,-2.2,
846 Liseicki,7400,-2.2,
846 Liseicki,7420,-2.5,
846 Liseicki,7440,-2.9,
846 Liseicki,7460,-3.4,
846 Liseicki,7480,-4.1,
846 Liseicki,7500,-4.9,
846 Liseicki,7520,-5.8,
846 Liseicki,7540,-6.7,
846 Liseicki,7560,-7.7,
846 Liseicki,7580,-8.7,
846 Liseicki,7600,-9.6,
846 Liseicki,7620,-10.5,
846 Liseicki,7640,-11.3,
846 Liseicki,7660,-12.0,
846 Liseicki,7680,-12.7,
846 Liseicki,7700,-13.2,
846 Liseicki,7720,-13.7,
846 Liseicki,7740,-14.2,
846 Liseicki,7760,-14.7,
846 Liseicki,7780,-15.2,
846 Liseicki,7800,-15.8,
846 Liseicki,7820,-16.4,
846 Liseicki,7840,-17.0,
846 Liseicki,7860,-17.6,
846 Liseicki,7880,-18.2,
846 Liseicki,7900,-18.7,
846 Liseicki,7920,-19.0,
846 Liseicki,7940,-19.2,
846 Liseicki,7960,-19.3,
846 Liseicki,7980,-19.2,
846 Liseicki,8000,-18.9,
846 Liseicki,8020,-18.6,
846 Liseicki,8040,-18.3,
